24-HOUR MAN/EMMANUEL	FROST, CARMILLA	KILLRAVEN/JONATHAN R	M'SHULLA
ABOMINATRIX	CAPTAIN RECTITUDE	INVISIBLE WOMAN/SUE 	MASON, LOUISE	MASON, WANDA	MR. FANTASTIC/REED R	SHE-HULK/JENNIFER WA
ABRAXAS	ETERNITY/ADAM QADMON	FROST, CARMILLA	GROK	HAWK	HUMAN TORCH/JOHNNY S	M'SHULLA	MINT JULEP	MR. FANTASTIC/REED R	RATTACK	RICHARDS, FRANKLIN B	THING/BENJAMIN J. GR	UATU
ABSALOM	BLAQUESMITH	BOOMER/TABITHA SMITH	CANNONBALL II/SAM GU	COPYCAT/VANESSA	DOMINO III/BEATRICE/	FERAL/MARIA CALLASAN	FOREARM	GIDEON	JONES, CHARLOTTE	MASTER MOLD II	NICODEMUS II	RICTOR/JULIO ESTEBAN	SAUL	SAURON/DR. KARL LYKO	SELENE	SHATTERSTAR II/GAVEE	SIRYN/THERESA ROURKE	STRYFE	SUMMERS, NATHAN CHRI	SUNSPOT/ROBERTO DACO	WEAPON X II/GARRISON
ABSORBING MAN | MUTA	BROTHER VOODOO | MUT	DAREDEVIL | MUTANT X	DEVIL DINOSAUR | MUT	DR. STRANGE | MUTANT	DRACULA | MUTANT X-V	DRAX | MUTANT X-VERS	FIN FANG FOOM | MUTA	HOGUN | MUTANT X-VER	HULK | MUTANT X-VERS	ICE-MAN | MUTANT X-V	IRON FIST | MUTANT X	MAN-SPIDER | MUTANT 	MOON KNIGHT | MUTANT	NAMORITA | MUTANT X-	POLARIS | MUTANT X-V	RAVEN | MUTANT X-VER	SUB-MARINER | MUTANT	SUMMERS, SCOTT III |	THOR | MUTANT X-VERS	VALKYRIE II | MUTANT	VOLSTAGG | MUTANT X-	WOLVERINE | MUTANT X
ABSORBING MAN/CARL C	ABOMINATION/EMIL BLO	ANGAR THE SCREAMER/D	ANGEL/WARREN KENNETH	ANT-MAN/DR. HENRY J.	APOCALYPSE/EN SABAH 	ARYAN	AUSTIN, SUSAN	AXE/	BALDER [ASGARDIAN]	BALLANTINE, KAYLA	BANNER, BETTY ROSS T	BANNON, LANCE	BATROC/GEORGES BATRO	BATTLE, MONTGOMERY	BEAST/HENRY &HANK& P	BEEFER	BERENGHETTI, MICHAEL	BEYONDER	BINARY/CAROL DANVERS	BLACK KNIGHT V/DANE 	BLACK MAMBA/TANYA SE	BLACK WIDOW/NATASHA 	BLACKOUT/MARCUS DANI	BLAIRE, CARTER	BULLDOZER/HENRY CAMP	BYRRAH [ATLANTEAN]	CAPTAIN AMERICA	CAPTAIN MARVEL II/MO	CITIZEN V II/HELMUT 	COLOSSUS II/PETER RA	CROSSBONES/BROCK BIN	CUSHING, KATE	CYCLOPS/SCOTT SUMMER	DAREDEVIL/MATT MURDO	DAZZLER II/ALLISON B	DR. DOOM/VICTOR VON 	DR. DRUID/ANTHONY LU	DR. OCTOPUS II/CAROL	DR. OCTOPUS/OTTO OCT	DREADKNIGHT/BRAM VEL	DUGAN, TIMOTHY ALOYI	EITRI	ELECTRO/MAX DILLON	ENCHANTRESS/AMORA/HE	ENGLEHART, STEVE	EON	FAIRMONT, HANNAH	FALCON/SAM WILSON	FANDRAL [ASGARDIAN]	FIELSTEIN, FIREWORKS	FIXER II/PAUL NORBER	FIXER/SWEENEY	FLYING TIGER	FOREIGNER/RAFAEL BAS	FREEMAN, DEREK	FRIGGA	FURY, COL. NICHOLAS 	GALACTUS/GALAN	GREEN GOBLIN/NORMAN 	GYRICH, HENRY PETER	HAMMERHEAD	HAWK	HEIMDALL [ASGARDIAN]	HERCULES [GREEK GOD]	HILDEGARDE [ASGARDIA	HILDY [ASGARDIAN]	HOBBS, HARRIS	HOBGOBLIN II/RODERIC	HOGUN [ASGARDIAN]	HOWARD, PROFESSOR MA	HULK/DR. ROBERT BRUC	HUMAN TORCH/JOHNNY S	HYDROMAN/MORRIE BENC	IGOR	IRON MAN IV/JAMES R.	IRON MAN/TONY STARK 	JARVIS, EDWIN 	JONES, MARLO CHANDLE	JONES, RICHARD MILHO	JUGGERNAUT/CAIN MARK	KAMO THARNN	KANGAROO II/	KARNILLA [ASGARDIAN]	KINCAID, DR. JANE FO	KINCAID, DR. KEITH	KINGSLEY, DANIEL	KLAW/ULYSSES KLAW	LANN	LEEDS, BETTY BRANT	LIZARD/DR. CURTIS CO	LOCKHEED	LOCKJAW [INHUMAN]	LOKI [ASGARDIAN]	LORELEI II/MELODI [A	LYJA LAZERFIST [SKRU	MAGNETO/MAGNUS/ERIC 	MARRERO, ED	MARVEL GIRL II/VALER	MAXIMOFF, DJANGO	MEDUSA/MEDUSALITH AM	MENTALLO	MIKHLO	MISTER HYDE/CALVIN Z	MO MONEY	MOLECULE MAN/OWEN RE	MONGOOSE	MOONSTONE II/KARLA S	MR. FANTASTIC/REED R	MURDOCK, BATTLING JA	NELSON, FRANKLIN FOG	NIGHTCRAWLER/KURT WA	O'BRIEN, MICHAEL	OCCULT	ODIN [ASGARDIAN]	OZYMANDIAS	PAGE, KAREN	PHARAOH RAMA-TUT	PILEDRIVER II/BRIAN 	PROFESSOR X/CHARLES 	QUASAR III/WENDELL V	QUICKSILVER/PIETRO M	QUILL	RASSITANO, MAD DOG	RED GHOST/IVAN KRAGO	REDWING	RHINO	ROBERTSON, JOE	ROBERTSON, MARTHA	ROGUE /	ROSS, GEN. THADDEUS 	RUIZ, RIGGER	SABRETOOTH/VICTOR CR	SCARLET WITCH/WANDA 	SCREAMING MIMI/MELIS	SHE-HULK/JENNIFER WA	SIF	SILVERMANE/SILVIO MA	SKOLL	SLADE	SOMMERS, APRIL	SPIDER-MAN/PETER PAR	SPIDER-WOMAN II/JULI	STILT-MAN/WILBUR DAY	STINGRAY/DR. WALTER 	STONE, LT. MARCUS	STORM/ORORO MUNROE S	STRYKER, WILLIS	SUB-MARINER/NAMOR MA	SUZIE	TALBOT, GLENN	TANAKA, KENJIRO	THENA	THING/BENJAMIN J. GR	THOMPSON, EUGENE FLA	THOR/DR. DONALD BLAK	THUNDERBALL/DR. ELIO	THUNDERSTRIKE/ERIC K	TIGER SHARK/TODD ARL	TITANIA II/MARY SKEE	TYR	TYRANNUS	ULTRON	UROC	VISION 	VIZIER	VOLCANA/MARSHA ROSEN	VOLSTAGG	WASP/JANET VAN DYNE 	WATSON-PARKER, MARY 	WEIN, GLYNIS	WEIN, LEN	WIZARD/BENTLEY WITTM	WOLVERINE/LOGAN 	WRECKER III/DIRK GAR	X-MAN/NATHAN GREY 	YELLOWJACKET II/RITA
ACBA	ANALYZER	ARCANNA/ARCANNA JONE	DEATH	DEATHURGE	DR. DRUID/ANTHONY LU	ETERNITY/ADAM QADMON	GAEA	HYPERION	INFINITY II	KRONOS	MAELSTROM/MALCOLM ST	MOONDRAGON/HEATHER D	NOVA II/FRANKIE RAYE	QUASAR III/WENDELL V	SERSI/SYLVIA	TRUTH	UATU	WHIZZER II/STANLEY S
ACHEBE, REVEREND DOC	ABSORBING MAN/CARL C	ADAMS, NICOLE NIKKI	ANT-MAN/DR. HENRY J.	BLACK PANTHER/T'CHAL	CAPTAIN AMERICA	CONSTRICTOR/FRANK PA	COPYCAT/VANESSA	CORSAIR	DEADPOOL/JACK/WADE W	DIRTY WOLFF	GAPON, DZHOKHAR	IRON MAN/TONY STARK 	JARVIS, EDWIN 	KILLMONGER, ERIC/N'J	KLAW/ULYSSES KLAW	LYNNE, MONICA	MALICE V/NAKIA	MCPHAIL, NATALIE	MEPHISTO	OKOYE	PREYY	RAKIM, SEN. KAMAL	RAMONDA	RICHMOND, DELROY	ROSS, EVERETT KENNET	SCARLET WITCH/WANDA 	SHE-HULK/JENNIFER WA	T'CHAKA	TAKU	TORK, SGT.	TRIATHLON/DELROY GAR	VISION 	W'KABI	WASP/JANET VAN DYNE 	WHITE WOLF/HUNTER	ZURI
ACHILLES II/HELMUT	AGAMEMNON III/	AJAX	ANDREWS, DARYL TROOP	ARABIAN KNIGHT/ABDUL	ATALANTA	BANNER, BETTY ROSS T	BERENGHETTI, MICHAEL	BERENGHETTI, SUSAN	CAGE, LUKE/CARL LUCA	CASSIOPEIA	CINDER/	DELPHI	DOC SAMSON/DR. LEONA	DRACCHISS	FANDRAL [ASGARDIAN]	FROST	HECTOR II	HELA [ASGARDIAN]	HOARFEN	HULK/DR. ROBERT BRUC	IRON FIST/DANIEL RAN	JASON	JONES, MARLO CHANDLE	JONES, RICHARD MILHO	MEDINA, ANALISA MARI	PARIS	PROMETHEUS II	PUNISHER II/FRANK CA	SHORR, JACQUELINE	STRIKER, SAM	THOR II/ROGER RED NO	THUNDERBOLT II/LUIS	ULYSSES II
ACROBAT/CARL ZANTE	CAPTAIN AMERICA	HUMAN TORCH/JOHNNY S	INVISIBLE WOMAN/SUE 	MR. FANTASTIC/REED R	THING/BENJAMIN J. GR
ADAM 3,031	ATALON	EVE 3,031	FROST, CARMILLA	GROK	HAWK	KILLRAVEN/JONATHAN R	M'SHULLA	MELONIE	OLD SKULL	SACRIFICER	SKAR	VOLCANA ASH
ADAM X	BOUDREAUX, BELLA DON	CAPTAIN MARVEL III/G	CYCLOPS/SCOTT SUMMER	ERIC THE RED [SHI'AR	HAV-AK	HELKOOKY	JELLA, PRIVATE	JONES, RICHARD MILHO	MARVEL GIRL/JEAN GRE	MENTOR/ALARS [ETERNA	MR. SINISTER/NATHAN 	PSYLOCKE/ELISABETH B	SABRETOOTH/VICTOR CR	STARFOX/EROS	SUMMERS, DEBORAH
ADAMS, CINDY	ADAMS, GEORGE	ADAMS, MARTHA	AMERICAN EAGLE III/J	BEAST/HENRY &HANK& P	BEYONDER	BLACK KNIGHT V/DANE 	CAPTAIN AMERICA	CAPTAIN BRITAIN/BRIA	COLOSSUS II/PETER RA	DARKSTAR/LAYNIA SERG	FORGE	GARGOYLE II/ISAAC CH	GYRICH, HENRY PETER	HAWK	HERCULES [GREEK GOD]	ICEMAN/ROBERT BOBBY 	IRON MAN IV/JAMES R.	JONES, RICHARD MILHO	LOCKLIN, GENERAL MER	MOCKINGBIRD/DR. BARB	NORRISS, SISTER BARB	PEREGRINE, LE/FRANCK	PROFESSOR X/CHARLES 	ROGUE /	ROM, SPACEKNIGHT	SCANNER/SKERA	SEEKER/TARM	SHADOWCAT/KATHERINE 	STARFOX/EROS	STARSHINE II/BRANDY 	SUB-MARINER/NAMOR MA	TIGRA/GREER NELSON	TRAPPER/VOLA	UNSEEN/UNAM	URSA MAJOR/MIKHAIL U	VANGUARD/NICOLAI KRY	VISION 	WOLVERINE/LOGAN 	WONDER MAN/SIMON WIL
ADAMS, CONGRESSMAN H	SNOW, CHARLIE	SPIDER-MAN/PETER PAR	YIN, ANGELA
ADAMS, GEORGE	ADAMS, MARTHA	ROM, SPACEKNIGHT
ADAMS, MARTHA	ADAMS, CINDY	ADAMS, GEORGE	BEYONDER	JONES, RICHARD MILHO	STARSHINE II/BRANDY 
ADAMS, NICOLE NIKKI	ACHEBE, REVEREND DOC	ALRAUNE, MARLENE	BLACK PANTHER/T'CHAL	BROTHER VOODOO/DANIE	CAGE, LUKE/CARL LUCA	CAPTAIN AMERICA	CLINTON, BILL	COCKROACH/	DR. DOOM/VICTOR VON 	FALCON/SAM WILSON	GHAUR [DEVIANT]	HAWK	HULK/DR. ROBERT BRUC	IRON FIST/DANIEL RAN	IRON MAN/TONY STARK 	JARVIS, EDWIN 	JIOMO	JUSTICE II/VANCE AST	KILLMONGER, ERIC/N'J	KRAVEN THE HUNTER II	LYNNE, MONICA	MALICE V/NAKIA	MEPHISTO	MOON KNIGHT/MARC SPE	MORGAN	NIGHTMARE/EDVARD HAB	NIGHTSHADE/TILDA	OKOYE	PREYY	QUEEN DIVINE JUSTICE	QUICKSILVER/PIETRO M	RAKIM, SEN. KAMAL	RAMONDA	RAMOS, MANUEL	REDWING	REJECT/RAN-SAK [DEVI	RICHARDS, FRANKLIN B	ROSS, EVERETT KENNET	SCARLET WITCH/WANDA 	SHE-HULK/JENNIFER WA	STILETTO	STORM/ORORO MUNROE S	SUB-MARINER/NAMOR MA	TAKU	TAURUS/CORNELIUS VAN	TORK, SGT.	VIBRAXAS/N'KANO	VINCENT, DANNY	VISION 	W'KABI	WASP/JANET VAN DYNE 	WHITE WOLF/HUNTER	ZURI
ADAMSON, JASON	ADAMSON, REBECCA	GOLEM III	KABALLA	LOGAN, WAYNE
ADAMSON, REBECCA	GOLEM III	KABALLA	LOGAN, WAYNE
ADMIRAL PROTOCOL/	BALDWIN, MADELYNE MA	CARDINAL/CLEMDENON	CUT	DRY	FIRESTAR/ANGELICA JO	FLORES, SHANICE	GEE/ALEX POWER	GENERAL ADMISSION	GENERAL OBSIDIAN	HELIX/RAFAEL CARAGO	HINDSIGHT LAD/CARLTO	JUSTICE II/VANCE AST	LIGHTSPEED/JULIE POW	NAMORITA/NITA PRENTI	NOVA/RICHARD RIDER	POWER, MARGARET	RAGE/ELVIN DARYL HAL	RIGHT	ROSEN, WALTER	SABRA/RUTH BAT-SERAP	SPEEDBALL II/DARRION	SPIDER-MAN CLONE/BEN	SPROCKET	TIMESLIP/RINA PATEL	TRUTH II	TURBO II (A)/MICHIKO	WRONG
ADORA	ARBOGAST, BAMBI	BLACK KNIGHT V/DANE 	CAPTAIN AMERICA	CAPTAIN MARVEL II/MO	CLARK, JOHN	CLARK, SARAH	COMET/HARRIS MOORE	CRIMEBUSTER/FRANK MO	DIAMONDHEAD/DYKER	DORREK [SKRULL]	DR. SUN	DUGAN, TIMOTHY ALOYI	EMPRESS R'KILL [SKRU	FIRELORD/PYREUS KRIL	GUNTHAR II	HARKNESS, AGATHA	HERCULES [GREEK GOD]	HUMAN TORCH/JOHNNY S	INVISIBLE WOMAN/SUE 	JAMESON, COL. JOHN 	JARVIS, EDWIN 	KRAA	LEVAN	MASTERS, ALICIA REIS	MONOCLE	MR. FANTASTIC/REED R	NEBULA	NOVA II/FRANKIE RAYE	NOVA-PRIME	NOVA/RICHARD RIDER	POWERHOUSE/RIEG DAVA	PROTECTOR III/	RICHARDS, FRANKLIN B	RIDER, CHARLES	RIDER, GLORIA	SKUNGE	SPHINX	SPIDER-MAN/PETER PAR	STARFOX/EROS	THING/BENJAMIN J. GR	TORPEDO III/BROCK JO	UATU	WASP/JANET VAN DYNE 	ZEDRAO, GENERAL
ADORA CLONE	DARKHAWK/CHRIS POWEL	FIRESTAR/ANGELICA JO	JUSTICE II/VANCE AST	MAXOV	MURDER	NAMORITA/NITA PRENTI	NOVA/RICHARD RIDER	PLANNER	RIDER, ROBERT ROBBIE	SPEEDBALL II/DARRION	THERA	TURBO II (A)/MICHIKO	WARHEAD/GREGORY SLIV
ADRIA	ANCIENT ONE	BARON MORDO/KARL MOR	BLESSING, MORGANA	CLEA	DEMONICUS/DR. DOUGLA	DORMAMMU	DR. STRANGE/STEPHEN 	ETERNITY/ADAM QADMON	WOLFE, SARA
ADVA	BALDER [ASGARDIAN]	COLLINS, DEMITRIUS	DESTROYER III	FAIRMONT, AMANDA MAN	FAIRMONT, HANNAH	FANDRAL [ASGARDIAN]	HERCULES [GREEK GOD]	HERMES [GREEK GOD]	HESCAMAR/MARNOT [ASG	KINCAID, DR. JANE FO	MAJESTON ZELIA	O'NEILL, DET. BRADY	ODIN [ASGARDIAN]	ORIKAL	PARKER, MAY	PERRIKUS	SEDNA	SIF	SLOTOTH	SPIDER-MAN/PETER PAR	SUB-MARINER/NAMOR MA	THOR/DR. DONALD BLAK	TOKKOTS	VOLSTAGG
ADVENT/KYLE GROBE	DUNHAM, LAURA	FIRESTAR/ANGELICA JO	GEE/ALEX POWER	HELIX/RAFAEL CARAGO	HINDSIGHT LAD/CARLTO	JUSTICE II/VANCE AST	MEXXA RIEN	NIELS	NOVA/RICHARD RIDER	SPEEDBALL II/DARRION	SPEEDBALL/ROBBIE BAL	SPHINX	SPIDER-MAN CLONE/BEN	TIMESLIP/RINA PATEL	TURBO II (A)/MICHIKO	TURBO II (B)/MIKE JE
ADVERSARY	AVALANCHE/DOMINIC PE	BLOB/FRED J. DUKES	COLOSSUS II/PETER RA	CONAN, NEAL	COOPER, DR. VALERIE	CRIMSON COMMANDO/FRA	DAZZLER II/ALLISON B	DESTINY II/IRENE ADL	FORGE	HAVOK/ALEX SUMMERS 	LOCKHEED	LONGSHOT	MACTAGGERT, MOIRA KI	MALICE IV	MORRELL, SABRINA	MR. SINISTER/NATHAN 	MYSTIQUE/RAVEN DARKH	NAZE	NIGHTCRAWLER/KURT WA	POLARIS/LORNA DANE	PSYLOCKE/ELISABETH B	PYRO/ALLERDYCE JOHNN	ROGUE /	ROMA	SABRETOOTH/VICTOR CR	SCALPHUNTER	SHADOWCAT/KATHERINE 	SHARD	SPIRAL	STONEWALL/LOUIS HAMI	STORM/ORORO MUNROE S	SUMMERS, MADELYNE MA	SUNSPOT/ROBERTO DACO	SUPER SABRE/MARTIN F	WETHERELL, MANOLI	WILD CHILD/KYLE GIBN	WOLVERINE/LOGAN 
AEGIS/TREY ROLLINS	ASHUR	BANSHEE/SEAN CASSIDY	BARRACUDA/	BERNIE	BIOHAZARD II/FLETCHE	BLACKWING/JOSEPH MAN	BLIZZARD II/DONALD G	BOLT II/CHRIS BRADLE	BOOMERANG/FRED MYERS	CHAMBER/JONOTHON STA	CLOAK/TYRONE JOHNSON	COOPER, ROGER CAPS	COUNTERWEIGHT II/KAT	CRUCIBLE/BYRON CALLE	FIRESTRIKE/DALTON BE	FUNARO, DONNA	GENECIDE	HIROMITSU	HUMAN TORCH/JOHNNY S	IRON FIST/DANIEL RAN	JAYE-FIRESTONE, GING	JUBILEE/JUBILATION L	JUSTICE II/VANCE AST	MUTO, JUNZO	NAMORITA/NITA PRENTI	NOVA/RICHARD RIDER	REANIMATOR/	RIOT II/	ROLLINS, MRS.	ROSEN, WALTER	SHE-HULK/JENNIFER WA	SILVERMANE/SILVIO MA	SKIN/ANGELO ESPINOSA	SPEEDBALL/ROBBIE BAL	STEEL SERPENT	STRONGHOLD/	SUB-MARINER/NAMOR MA	SUTTON, JOHN	SYNCH/EVERETT THOMAS	TRAYNOR, HARLEY	TURBO II (A)/MICHIKO	WARBOW/	WHITE QUEEN/EMMA FRO	ZEUS
AENTAROS	BERGER, PROF.	BLAQUESMITH	BLOCKADE/DEXTER PARI	BRIDGE, GEORGE WASHI	CIRE, EYLA	CIRE, EZRA	CIRE, MANUEL	CLARITY/	CROSS, JASON	CYANIDE JANE	DOMINO III/BEATRICE/	GAUNT II	GLEASON, KAREN	HAMID, SHEIK	MALAN Sometimes spel	MERRYWEATHER, IRENE	OXTON, PROFESSOR HEN	PHOENIX III/RACHEL S	PRINCESS SANDELLA	SEMIJAN	SHIRE, DR. RANDALL	SUMMERS, NATHAN CHRI	WALL/
AFTERLIFE	WONG
AGAMEMNON	ACHILLES	HECTOR	HERA/AUGUSTINE JONES	PROMETHEUS [OLYMPIAN	ULYSSES
AGAMEMNON II/ANDREI 	BLACK WIDOW/NATASHA 
AGAMEMNON III/	ACHILLES II/HELMUT	AJAX	ASTER, LUCIAN	ATALANTA	BANNER, BETTY ROSS T	CASSIOPEIA	DELPHI	DOC SAMSON/DR. LEONA	DR. STRANGE/STEPHEN 	DRACCHISS	FANDRAL [ASGARDIAN]	GUNTLY, DAVID	HAMMER, JUSTIN	HECTOR II	HELA [ASGARDIAN]	HOARFEN	HOGUN [ASGARDIAN]	HULK/DR. ROBERT BRUC	IRONCLAD	JAILBAIT/JESS	JASON	JONES, MARLO CHANDLE	JONES, RICHARD MILHO	LEADER/SAM STERNS	MEER, MAX	MR. FANTASTIC/REED R	OGRESS/	PARIS	PROMETHEUS II	RABIN, GRETTA	ROCK/SAMUEL JOHN ROC	ROSS, GEN. THADDEUS 	SABRA/RUTH BAT-SERAP	SHANZAR	SHORR, JACQUELINE	SIINGARD	SILVER SURFER/NORRIN	SUB-MARINER/NAMOR MA	THOR II/ROGER RED NO	THUNDERBOLT II/LUIS	ULYSSES II	VECTOR	VOLSTAGG	WALKER, JILL	WONG
AGAMOTTO	ANCIENT ONE	BARON BLOOD II/VICTO	BINARY/CAROL DANVERS	CHANG, IMEI	CLEA	DORMAMMU	DR. DOOM/VICTOR VON 	DR. STRANGE/STEPHEN 	GHOST RIDER III/DAN 	GRIEFSAVOR	HOGGOTH	HULK/DR. ROBERT BRUC	LAVEAU, MARIE	MUNIPOOR	RINTRAH	SATANNISH	SILVER DAGGER/ISAIAH	SILVER SURFER/NORRIN	SPIDER-MAN/PETER PAR	TOPAZ	UMAR	VALTORR	WARLOCK II/ADAM WARL	WOLFE, SARA	WONG
AGARN, CAPT.	MOK	PO	SLEEK
